emoji,label
🤦🏾‍♀,neutral
🤦🏿‍♀️,neutral
🤦🏿‍♀,neutral
🤷,neutral
🤷🏻,neutral
🤷🏼,neutral
🤷🏽,neutral
🤷🏾,neutral
🤷🏿,neutral
🤷‍♂️,neutral
🤷‍♂,neutral
🤷🏻‍♂️,neutral
🤷🏻‍♂,neutral
🤷🏼‍♂️,neutral
🤷🏼‍♂,neutral
🤷🏽‍♂️,neutral
🤷🏽‍♂,neutral
🤷🏾‍♂️,neutral
🤷🏾‍♂,neutral
🤷🏿‍♂️,neutral
🤷🏿‍♂,neutral
🤷‍♀️,neutral
🤷‍♀,neutral
🤷🏻‍♀️,neutral
🤷🏻‍♀,neutral
🤷🏼‍♀️,neutral
🤷🏼‍♀,neutral
🤷🏽‍♀️,neutral
🤷🏽‍♀,neutral
🤷🏾‍♀️,neutral
🤷🏾‍♀,neutral
🤷🏿‍♀️,neutral
🤷🏿‍♀,neutral
🧑‍⚕️,neutral
🧑‍⚕,neutral
🧑🏻‍⚕️,neutral
🧑🏻‍⚕,neutral
🧑🏼‍⚕️,neutral
🧑🏼‍⚕,neutral
🧑🏽‍⚕️,neutral
🧑🏽‍⚕,neutral
🧑🏾‍⚕️,neutral
🧑🏾‍⚕,neutral
🧑🏿‍⚕️,neutral
🧑🏿‍⚕,neutral
👨‍⚕️,neutral
👨‍⚕,neutral
👨🏻‍⚕️,neutral
👨🏻‍⚕,neutral
👨🏼‍⚕️,neutral
👨🏼‍⚕,neutral
👨🏽‍⚕️,neutral
👨🏽‍⚕,neutral
👨🏾‍⚕️,neutral
👨🏾‍⚕,neutral
👨🏿‍⚕️,neutral
👨🏿‍⚕,neutral
👩‍⚕️,neutral
👩‍⚕,neutral
👩🏻‍⚕️,neutral
👩🏻‍⚕,neutral
👩🏼‍⚕️,neutral
👩🏼‍⚕,neutral
👩🏽‍⚕️,neutral
👩🏽‍⚕,neutral
👩🏾‍⚕️,neutral
👩🏾‍⚕,neutral
👩🏿‍⚕️,neutral
👩🏿‍⚕,neutral
🧑‍🎓,neutral
🧑🏻‍🎓,neutral
🧑🏼‍🎓,neutral
🧑🏽‍🎓,neutral
🧑🏾‍🎓,neutral
🧑🏿‍🎓,neutral
👨‍🎓,neutral
👨🏻‍🎓,neutral
👨🏼‍🎓,neutral
👨🏽‍🎓,neutral
👨🏾‍🎓,neutral
👨🏿‍🎓,neutral
👩‍🎓,neutral
👩🏻‍🎓,neutral
👩🏼‍🎓,neutral
👩🏽‍🎓,neutral
👩🏾‍🎓,neutral
👩🏿‍🎓,neutral
🧑‍🏫,neutral
🧑🏻‍🏫,neutral
🧑🏼‍🏫,neutral
🧑🏽‍🏫,neutral
🧑🏾‍🏫,neutral
🧑🏿‍🏫,neutral
👨‍🏫,neutral
👨🏻‍🏫,neutral
👨🏼‍🏫,neutral
👨🏽‍🏫,neutral
👨🏾‍🏫,neutral
👨🏿‍🏫,neutral
👩‍🏫,neutral
👩🏻‍🏫,neutral
👩🏼‍🏫,neutral
👩🏽‍🏫,neutral
👩🏾‍🏫,neutral
👩🏿‍🏫,neutral
🧑‍⚖️,neutral
🧑‍⚖,neutral
🧑🏻‍⚖️,neutral
🧑🏻‍⚖,neutral
🧑🏼‍⚖️,neutral
🧑🏼‍⚖,neutral
🧑🏽‍⚖️,neutral
🧑🏽‍⚖,neutral
🧑🏾‍⚖️,neutral
🧑🏾‍⚖,neutral
🧑🏿‍⚖️,neutral
🧑🏿‍⚖,neutral
👨‍⚖️,neutral
👨‍⚖,neutral
👨🏻‍⚖️,neutral
👨🏻‍⚖,neutral
👨🏼‍⚖️,neutral
👨🏼‍⚖,neutral
👨🏽‍⚖️,neutral
👨🏽‍⚖,neutral
👨🏾‍⚖️,neutral
👨🏾‍⚖,neutral
👨🏿‍⚖️,neutral
👨🏿‍⚖,neutral
👩‍⚖️,neutral
👩‍⚖,neutral
👩🏻‍⚖️,neutral
👩🏻‍⚖,neutral
👩🏼‍⚖️,neutral
👩🏼‍⚖,neutral
👩🏽‍⚖️,neutral
👩🏽‍⚖,neutral
👩🏾‍⚖️,neutral
👩🏾‍⚖,neutral
👩🏿‍⚖️,neutral
👩🏿‍⚖,neutral
🧑‍🌾,neutral
🧑🏻‍🌾,neutral
🧑🏼‍🌾,neutral
🧑🏽‍🌾,neutral
🧑🏾‍🌾,neutral
🧑🏿‍🌾,neutral
👨‍🌾,neutral
👨🏻‍🌾,neutral
👨🏼‍🌾,neutral
👨🏽‍🌾,neutral
👨🏾‍🌾,neutral
👨🏿‍🌾,neutral
👩‍🌾,neutral
👩🏻‍🌾,neutral
👩🏼‍🌾,neutral
👩🏽‍🌾,neutral
👩🏾‍🌾,neutral
👩🏿‍🌾,neutral
🧑‍🍳,neutral
🧑🏻‍🍳,neutral
🧑🏼‍🍳,neutral
🧑🏽‍🍳,neutral
🧑🏾‍🍳,neutral
🧑🏿‍🍳,neutral
👨‍🍳,neutral
👨🏻‍🍳,neutral
👨🏼‍🍳,neutral
👨🏽‍🍳,neutral
👨🏾‍🍳,neutral
👨🏿‍🍳,neutral
👩‍🍳,neutral
👩🏻‍🍳,neutral
👩🏼‍🍳,neutral
👩🏽‍🍳,neutral
👩🏾‍🍳,neutral
👩🏿‍🍳,neutral
🧑‍🔧,neutral
🧑🏻‍🔧,neutral
🧑🏼‍🔧,neutral
🧑🏽‍🔧,neutral
🧑🏾‍🔧,neutral
🧑🏿‍🔧,neutral
👨‍🔧,neutral
👨🏻‍🔧,neutral
👨🏼‍🔧,neutral
👨🏽‍🔧,neutral
👨🏾‍🔧,neutral
👨🏿‍🔧,neutral
👩‍🔧,neutral
👩🏻‍🔧,neutral
👩🏼‍🔧,neutral
👩🏽‍🔧,neutral
👩🏾‍🔧,neutral
👩🏿‍🔧,neutral
🧑‍🏭,neutral
🧑🏻‍🏭,neutral
🧑🏼‍🏭,neutral
🧑🏽‍🏭,neutral
🧑🏾‍🏭,neutral
🧑🏿‍🏭,neutral
👨‍🏭,neutral
👨🏻‍🏭,neutral
👨🏼‍🏭,neutral
👨🏽‍🏭,neutral
👨🏾‍🏭,neutral
👨🏿‍🏭,neutral
👩‍🏭,neutral
👩🏻‍🏭,neutral
👩🏼‍🏭,neutral
👩🏽‍🏭,neutral
👩🏾‍🏭,neutral
👩🏿‍🏭,neutral
🧑‍💼,neutral
🧑🏻‍💼,neutral
🧑🏼‍💼,neutral
🧑🏽‍💼,neutral
🧑🏾‍💼,neutral
🧑🏿‍💼,neutral
👨‍💼,neutral
👨🏻‍💼,neutral
👨🏼‍💼,neutral
👨🏽‍💼,neutral
👨🏾‍💼,neutral
👨🏿‍💼,neutral
👩‍💼,neutral
👩🏻‍💼,neutral
👩🏼‍💼,neutral
👩🏽‍💼,neutral
👩🏾‍💼,neutral
👩🏿‍💼,neutral
🧑‍🔬,neutral
🧑🏻‍🔬,neutral
🧑🏼‍🔬,neutral
🧑🏽‍🔬,neutral
🧑🏾‍🔬,neutral
🧑🏿‍🔬,neutral
👨‍🔬,neutral
👨🏻‍🔬,neutral
👨🏼‍🔬,neutral
👨🏽‍🔬,neutral
👨🏾‍🔬,neutral
👨🏿‍🔬,neutral
👩‍🔬,neutral
👩🏻‍🔬,neutral
👩🏼‍🔬,neutral
👩🏽‍🔬,neutral
👩🏾‍🔬,neutral
👩🏿‍🔬,neutral
🧑‍💻,neutral
🧑🏻‍💻,neutral
🧑🏼‍💻,neutral
🧑🏽‍💻,neutral
🧑🏾‍💻,neutral
🧑🏿‍💻,neutral
👨‍💻,neutral
👨🏻‍💻,neutral
👨🏼‍💻,neutral
👨🏽‍💻,neutral
👨🏾‍💻,neutral
👨🏿‍💻,neutral
👩‍💻,neutral
👩🏻‍💻,neutral
👩🏼‍💻,neutral
👩🏽‍💻,neutral
👩🏾‍💻,neutral
👩🏿‍💻,neutral
🧑‍🎤,neutral
🧑🏻‍🎤,neutral
🧑🏼‍🎤,neutral
🧑🏽‍🎤,neutral
🧑🏾‍🎤,neutral
🧑🏿‍🎤,neutral
👨‍🎤,neutral
👨🏻‍🎤,neutral
👨🏼‍🎤,neutral
👨🏽‍🎤,neutral
👨🏾‍🎤,neutral
👨🏿‍🎤,neutral
👩‍🎤,neutral
👩🏻‍🎤,neutral
👩🏼‍🎤,neutral
👩🏽‍🎤,neutral
👩🏾‍🎤,neutral
👩🏿‍🎤,neutral
🧑‍🎨,neutral
🧑🏻‍🎨,neutral
🧑🏼‍🎨,neutral
🧑🏽‍🎨,neutral
🧑🏾‍🎨,neutral
